Наименование станции,Рейтинг
третьяковская,5.0
медведково,3.0
первомайская,3.0
калужская,4.0
каховская,4.0
бульвар адмирала ушакова,1.0
павелецкая,5.0
волжская,3.0
шаболовская,5.0
плющиха,5.0
тимирязевская,3.0
вднх,4.0
тверская,5.0
фонвизинская,4.0
воронцовская,4.0
дмитровская,4.0
новые черемушки,5.0
улица милашенкова,4.0
пушкинская,5.0
маяковская,5.0
нижегородская,3.0
ботанический сад,3.0
нижегородская,3.0
белорусская,5.0
красногвардейская,1.0
комсомольская,5.0
нагатинская,4.0
алтуфьево,2.0
новопеределкино,1.0
автозаводская,4.0
дорогомиловская,5.0
текстильщики,3.0
кожуховская,3.0
марьино,2.0
павелецкая,5.0
преображенская площадь,3.0
новослободская,5.0
фили,5.0
кунцевская,4.0
домодедовская,1.0
мневники,4.0
охотный ряд,5.0
новокосино,2.0
курская,5.0
лухмановская,1.0
достоевская,5.0
международная,5.0
борисово,1.0
выставочный центр,4.0
беговая,5.0
терехово,4.0
третьяковская,5.0
савеловская,4.0
волоколамская,2.0
парк победы,5.0
чертановская,2.0
парк победы,5.0
филевский парк,5.0
фрунзенская,5.0
кузнецкий мост,5.0
лубянка,5.0
улица сергея эйзенштейна,4.0
водный стадион,3.0
улица 1905 года,5.0
ломоносовский проспект,5.0
марксистская,5.0
боровское шоссе,1.0
партизанская,3.0
улица академика янгеля,2.0
краснопресненская,5.0
авиамоторная,3.0
чкаловская,5.0
тульская,4.0
лермонтовский проспект,1.0
спартак,2.0
арбатская,5.0
аннино,2.0
севастопольская,4.0
профсоюзная,4.0
арбатская,5.0
улица горчакова,1.0
мякинино,4.0
октябрьская,5.0
пионерская,5.0
площадь ильича,5.0
рассказовка,0.0
нагатинский затон,3.0
измайловская,3.0
косино,1.0
битцевский парк,3.0
сокол,5.0
рижская,5.0
сокольники,5.0
смоленская,5.0
парк культуры,5.0
мичуринский проспект,5.0
котельники,1.0
библиотека имени ленина,5.0
некрасовка,1.0
волгоградский проспект,3.0
трубная,5.0
динамо,4.0
алексеевская,4.0
улица академика королева,4.0
планерная,3.0
спортивная,5.0
суворовская,5.0
таганская,5.0
киевская,5.0
театральная,5.0
сокольники,5.0
деловой центр,5.0
бульвар дмитрия донского,1.0
шипиловская,1.0
белорусская,5.0
полянка,5.0
крылатское,5.0
сходненская,3.0
площадь революции,5.0
юго-западная,4.0
шоссе энтузиастов,3.0
китай-город,5.0
щукинская,5.0
лесопарковая,1.0
новогиреево,1.0
курская,5.0
минская,5.0
студенческая,5.0
пражская,1.0
парк культуры,5.0
аэропорт,4.0
проспект мира,5.0
третьяковская,5.0
марьина роща,4.0
китай-город,5.0
авиамоторная,3.0
нахимовский проспект,4.0
алма-атинская,1.0
цветной бульвар,5.0
окружная,3.0
добрынинская,5.0
технопарк,3.0
серпуховская,5.0
каширская,3.0
жулебино,1.0
селигерская,2.0
юго-восточная,1.0
солнцево,2.0
пятницкое шоссе,2.0
улица скобелевская,1.0
воробьевы горы,5.0
мичуринский проспект,5.0
верхние лихоборы,2.0
строгино,4.0
отрадное,3.0
кузьминки,3.0
кунцевская,4.0
окская,2.0
митино,2.0
академическая,4.0
пролетарская,5.0
деловой центр,5.0
тургеневская,5.0
беляево,4.0
царицыно,1.0
волхонка,5.0
киевская,5.0
полежаевская,5.0
текстильщики,3.0
войковская,4.0
саларьево,2.0
братиславская,2.0
южная,1.0
киевская,5.0
славянский бульвар,5.0
свиблово,3.0
университет,5.0
улица старокачаловская,1.0
электрозаводская,4.0
ясенево,3.0
румянцево,0.0
тропарево,4.0
таганская,5.0
орехово,3.0
перово,1.0
телецентр,4.0
дубровка,3.0
каширская,3.0
семеновская,4.0
стахановская,2.0
кунцевская,4.0
петровско-разумовская,3.0
теплый стан,3.0
выхино,1.0
кантемировская,1.0
молодежная,4.0
владыкино,3.0
крестьянская застава,5.0
хорошевская,5.0
зябликово,1.0
петровско-разумовская,3.0
красносельская,5.0
чистые пруды,5.0
лианозово,2.0
комсомольская,5.0
сретенский бульвар,5.0
проспект вернадского,5.0
боровицкая,5.0
